Year,GEOID,Total Population,Labor Force,Unemployed,Median Income
2014,27119,31704,24968,606,49893
2014,27123,532655,421233,17190,55101
2014,27131,65151,52121,1524,60527
2014,27137,200949,166441,6013,50040
2014,27139,139672,104021,3147,92107
2014,27141,91126,69329,2063,77532
2014,27145,152912,122324,5085,56040
2014,27147,36573,27733,861,54554
2014,27153,24264,19043,386,42976
2014,27157,21362,17153,221,60099
2014,27163,249283,194236,7584,83545
2014,27169,51097,42924,1314,48661
2014,27171,129918,95908,2327,77442
2014,28001,32815,26568,1134,30874
2014,28003,37380,29546,2079,32290
2014,28011,33768,26035,2143,27782
2014,28025,21707,17253,1463,38904
2014,28027,24807,18748,2696,32107
2014,28029,28797,21953,2185,42709
2014,28033,170913,130977,6368,58073
2014,28035,76330,60515,6046,38904
2014,28039,21942,18050,341,42837
2014,28043,21666,17402,501,33365
2014,28045,45949,37270,1379,49917
2014,28047,199058,154671,8320,40846
2014,28049,243729,189735,10893,38543
2014,28057,23527,18628,1223,35208
2014,28059,141137,109821,5407,47822
2014,28067,68290,52941,1997,36374
2014,28071,52930,44189,2091,37543
2014,28073,60099,45766,2166,50000
2014,28075,79739,62521,2702,40333
2014,28079,23193,17807,1566,31288
2014,28081,85246,65315,2620,43204
2014,28083,31422,23995,1819,26250
2014,28085,34775,27222,825,34656
2014,28087,59730,46237,2901,40056
2014,28089,101688,78675,2159,67746
2014,28091,25868,19173,1067,30628
2014,28093,36234,29043,623,42473
2014,28095,36003,28535,1904,36442
2014,28099,29465,23447,789,39196
2014,28101,21491,15816,905,31566
2014,28105,49414,40662,2948,33570
2014,28107,34444,26329,1548,36119
2014,28109,55224,44115,2675,34562
2014,28113,40058,30447,1843,25078
2014,28115,30950,23758,1050,39868
2014,28117,25428,20353,594,32987
2014,28121,148070,115716,3285,58755
2014,28123,28461,21424,1547,28284
2014,28127,26145,20552,1283,30480
2014,28133,27496,21684,1957,31525
2014,28137,28204,21881,1665,39941
2014,28139,22039,17003,904,40231
2014,28145,28097,21247,772,32033
2014,28149,47983,37472,2672,39597
2014,28151,48958,37584,4597,30390
2014,28153,20490,15141,1038,50146
2014,28163,27817,22249,1149,29603
2014,29001,25602,21884,565,34185
2014,29007,25887,20562,1598,41458
2014,29009,35662,28748,834,39800
2014,29019,172717,141618,4093,50085
2014,29021,89486,70599,3522,46764
2014,29023,42972,33962,2500,36350
2014,29027,44750,36558,824,52348
2014,29029,44021,36902,1593,45721
2014,29031,78043,63525,2558,47438
2014,29037,100889,78828,3461,60849
2014,29043,82101,63381,1845,51692
2014,29047,233682,181769,6175,61384
2014,29049,20299,15953,537,49753
2014,29051,76557,60621,2073,51210
2014,29055,23144,18049,720,33028
2014,29069,31344,24024,1155,28662
2014,29071,102084,80293,2400,51682
2014,29077,285865,232190,9025,39611
2014,29083,22028,17608,609,38156
2014,29091,40173,31884,1235,30668
2014,29095,683191,536274,23032,45874
2014,29097,117543,90521,3703,39886
2014,29099,222716,175087,7779,59327
2014,29101,54362,44113,1813,53424
2014,29105,35439,27725,1236,32792
2014,29107,32688,25819,1235,48087
2014,29109,38023,29079,1977,40050
2014,29113,54249,41549,2311,52005
2014,29119,23162,18741,618,36633
2014,29127,28920,22641,806,42340
2014,29131,25141,20168,930,35479
2014,29141,21918,17089,249,32529
2014,29145,58598,46063,1381,45785
2014,29147,23081,19415,738,40770
2014,29159,42225,33037,792,39689
2014,29161,44847,35834,1696,44178
2014,29165,94788,74937,2661,69787
2014,29167,31054,24361,1576,38086
2014,29169,53436,42308,2995,44344
2014,29175,25072,20331,897,42887
2014,29177,22949,18125,700,50930
2014,29183,379493,297716,9766,73989
2014,29187,65960,53084,2524,41713
2014,29189,1001876,805303,34355,59993
2014,29195,23347,18520,442,40527
2014,29201,38903,30797,1113,40393
2014,29207,29867,23895,719,39215
2014,29209,31104,26689,834,40531
2014,29213,54230,43863,2201,35471
2014,29215,25642,20743,954,40585
2014,29217,21001,15991,453,41891
2014,29219,33253,25731,1193,51553
2014,29221,25077,19881,1420,35640
2014,29225,36888,27746,948,40657
2014,29510,317419,259805,19955,35959
2014,30013,82344,65666,1525,42170
2014,30029,94924,76333,2223,47362
2014,30031,97308,79021,2899,50238
2014,30047,29099,22772,531,38459
2014,30049,65856,53144,1526,53435
2014,30063,112684,93312,3381,44289
2014,30081,41030,33647,1466,41629
2014,30093,34680,28566,1276,32483
2014,30111,155634,122162,2548,51508
2014,31001,31457,24845,771,43621
2014,31019,48224,38025,1140,48838
2014,31025,25524,19863,337,67162
2014,31043,20850,15204,1121,51587
2014,31047,24096,18381,502,47252
2014,31053,36744,29353,817,50296
2014,31055,543244,417282,16123,52505
2014,31067,21663,17457,250,52007
2014,31079,61492,46458,2003,48500
2014,31109,301795,238380,6870,51766
2014,31111,35815,27709,869,48375
2014,31119,35174,26886,381,52880
2014,31141,32666,25503,766,65311
2014,31153,172193,128645,3283,73775
2014,31155,20919,16208,372,62075
2014,31157,36465,28170,924,49263
2014,31177,20258,15804,89,67150
2014,32001,23989,20495,1304,42190
2014,32003,2069681,1632006,98363,51214
2014,32005,47536,40695,1426,57184
2014,32007,52766,39419,1075,73622
2014,32019,51789,41039,2553,47481
2014,32023,42282,35768,1075,40566
2014,32031,440078,353452,17371,52618
2014,32510,54522,44655,2196,43850
2014,33001,60305,50568,1732,63401
2014,33003,47399,40693,1414,60150
2014,33005,76115,63521,1922,56652
2014,33007,31653,26848,628,43586
2014,33009,89658,76140,1923,57210
2014,33011,405184,328711,12514,71422
2014,33013,147171,122277,3576,62418
2014,33015,300621,247094,9291,79922
2014,33017,125604,102861,3319,58976
2014,33019,43103,35670,1544,61262
